Source	Cluster	RA_ICRS	DE_ICRS	Gmag	plx	e_plx
   3313665885609887616	Hyades  	066.77788	+16.42958	16.634	21.962	 0.029
   3313689422030650496	Hyades  	066.66766	+16.74678	 7.941	21.744	 0.057
   3313714023603261568	Hyades  	067.16467	+16.96991	14.075	20.895	 0.015
   3313630082762446208	Hyades  	066.05367	+16.37884	 8.068	17.317	 0.028
   3313606340183243136	Hyades  	065.98259	+16.35408	14.347	22.244	 0.018
   3313579505227558528	Hyades  	066.31935	+16.30224	15.028	21.166	 0.032
   3313662896312488192	Hyades  	066.11853	+16.88606	 7.656	21.705	 0.050
   3313653894061044224	Hyades  	065.99689	+16.72147	11.728	21.684	 0.046
     71487329756936320	Hyades  	054.78357	+28.38207	10.352	18.292	 0.020
   3305524242524308352	Hyades  	061.64480	+13.54905	12.441	19.765	 0.130
   3277579398589199616	Hyades  	054.53054	+06.57386	15.320	27.061	 0.069
   3288018093264886016	Hyades  	072.46750	+06.10936	13.425	22.916	 0.033
    163804078373452288	Hyades  	060.41517	+28.31672	17.362	20.074	 0.060
   3392446821452424192	Hyades  	074.45658	+14.00211	 8.700	18.319	 0.013
   3392423078873226112	Hyades  	074.36513	+13.94514	15.016	18.266	 0.017
   3392323607430380416	Hyades  	077.06455	+15.37722	15.261	20.074	 0.063
   3392438678194466560	Hyades  	074.05309	+13.98432	13.566	16.477	 0.168
   3392422013721349632	Hyades  	074.25312	+13.91227	10.487	17.709	 0.005
   3391410909700425600	Hyades  	076.79218	+13.26971	14.930	19.648	 0.039
   3313207698500079360	Hyades  	069.63188	+17.04056	13.642	22.822	 0.032
   3313173957237081984	Hyades  	069.38446	+16.75857	14.529	21.058	 0.075
   3313285110990793472	Hyades  	068.48679	+16.86894	13.767	21.397	 0.015
   3313070293905997824	Hyades  	069.00075	+16.54067	10.292	20.003	 0.278
   3313259169388356608	Hyades  	068.40864	+16.76239	 9.153	20.572	 0.029
   3392122637320609536	Hyades  	076.89601	+14.65382	13.537	18.849	 0.103
   3402351561497574016	Hyades  	081.36275	+21.06865	12.087	18.216	 0.018
   3394444084324433792	Hyades  	079.42341	+17.45236	13.552	18.272	 0.019
     45293526808851200	Hyades  	062.86572	+15.99207	13.798	21.085	 0.060
     45142206521351552	Hyades  	061.92550	+15.16269	 5.971	22.726	 0.032
